,num_xDR_sess,Tot_DL_UL (Bytes),Social Media total data (Bytes),Youtube total data (Bytes),Netflix total data (Bytes),Google total data (Bytes),Email total data (Bytes),Gaming total data (Bytes),Other total data (Bytes),Dur. (ms)
count,106856.0,106856.0,106856.0,106856.0,106856.0,106856.0,106856.0,106856.0,106856.0,106856.0
mean,7.0,621189126.604603,2308540.7650019303,28122921.80845854,28123959.460711647,9748681.1470696,2823730.5385627868,542093251.6065301,540751527.8362278,116143.2674351379
std,0.0,337424665.8528525,1387021.3034559062,13583177.004073523,13666557.495556867,5016780.4970168555,1495755.1942226733,323757539.17918587,324317978.9772993,67127.21081115711
min,7.0,33249009.0,1563.0,78903.0,184569.0,40330.0,18176.0,306358.0,149045.0,7142.0
25%,7.0,358549907.5,1211281.5,18631088.5,18555972.75,5942636.0,1674481.0,288063112.5,285559911.0,71308.0
50%,7.0,617923138.0,2303756.0,26800376.0,26718889.5,9586153.0,2799824.5,542349206.5,539832343.0,102740.0
75%,7.0,813607546.75,3154820.25,34833918.0,34865030.5,12323935.0,3632051.75,739614626.0,737514035.0,154388.75
max,7.0,1633406365.0,6469021.0,68870035.0,69119049.0,24797287.0,7310768.0,1513287913.0,1513602558.0,317501.0
skew,0.0,0.6048119064579367,0.5561143980369089,0.66613979242294,0.6774713515499787,0.6386667161356883,0.6069574783103313,0.5450004024614137,0.5590742041898362,0.5998898241675245
mad,0.0,267435830.0488656,1109010.7362415544,10574998.229346154,10641716.228728324,3938743.61793793,1180256.4698269458,258555362.13872415,259030914.56928995,54618.290354522935
median,7.0,617923138.0,2303756.0,26800376.0,26718889.5,9586153.0,2799824.5,542349206.5,539832343.0,102740.0
kurt,0.0,0.1466649205086461,0.05264336580078055,0.2923415926442403,0.2798278503989935,0.21730289260136226,0.16747174247106855,0.05687465537115699,0.06865243041767499,-0.026736029225502556
